"Time","Value","Model","Run"
1,1.94000194182322,"AR1_M4",1
2,0.481091963072026,"AR1_M4",1
3,1.44538983707953,"AR1_M4",1
4,1.21446525549373,"AR1_M4",1
5,-1.32215861789947,"AR1_M4",1
6,0.432842059388352,"AR1_M4",1
7,0.226523760738641,"AR1_M4",1
8,0.0179111942995127,"AR1_M4",1
9,1.33694821979642,"AR1_M4",1
10,-0.671223136675429,"AR1_M4",1
11,-0.0261770010122466,"AR1_M4",1
12,0.953727716145909,"AR1_M4",1
13,-0.508903077051922,"AR1_M4",1
14,-0.802676612784384,"AR1_M4",1
15,0.973482606621024,"AR1_M4",1
16,-1.33969948268018,"AR1_M4",1
17,-0.0496693712916761,"AR1_M4",1
18,-0.981279936345622,"AR1_M4",1
19,-0.15631643471645,"AR1_M4",1
20,-0.458401382309407,"AR1_M4",1
21,0.633830153394291,"AR1_M4",1
22,-0.00104360063900696,"AR1_M4",1
23,0.90671157843171,"AR1_M4",1
24,0.49999741875377,"AR1_M4",1
25,-0.0290297822927916,"AR1_M4",1
26,-1.03392988523916,"AR1_M4",1
27,-0.310107537744617,"AR1_M4",1
28,0.91542240672438,"AR1_M4",1
29,0.371492678931445,"AR1_M4",1
30,-0.306640871280139,"AR1_M4",1
31,0.431424093984714,"AR1_M4",1
32,-0.946864584049707,"AR1_M4",1
33,-1.32329418460793,"AR1_M4",1
34,-0.111895094887893,"AR1_M4",1
35,-0.0345985621271379,"AR1_M4",1
36,-0.261896183719713,"AR1_M4",1
37,-0.360596677789125,"AR1_M4",1
38,1.35486116790497,"AR1_M4",1
39,-0.556087609184153,"AR1_M4",1
40,1.08275389121265,"AR1_M4",1
41,-0.17218264209148,"AR1_M4",1
42,1.25601846935759,"AR1_M4",1
43,-1.99566366023373,"AR1_M4",1
44,0.155364588278703,"AR1_M4",1
45,-1.34044879678206,"AR1_M4",1
46,0.474314626809951,"AR1_M4",1
47,-1.11512388017766,"AR1_M4",1
48,0.0877349883539137,"AR1_M4",1
49,-0.59473687046497,"AR1_M4",1
50,-0.76923090745796,"AR1_M4",1
51,0.624288824243721,"AR1_M4",1
52,0.253597949803291,"AR1_M4",1
53,-0.296767047923312,"AR1_M4",1
54,0.679179501217509,"AR1_M4",1
55,0.571830557490366,"AR1_M4",1
56,0.689345981578423,"AR1_M4",1
57,-0.583226929212489,"AR1_M4",1
58,-1.12074516954918,"AR1_M4",1
59,-0.667139485281719,"AR1_M4",1
60,-0.556224604067035,"AR1_M4",1
61,0.248055240132635,"AR1_M4",1
62,-1.36439254198396,"AR1_M4",1
63,-0.261167402355078,"AR1_M4",1
64,1.6624113731875,"AR1_M4",1
65,-1.83631308722038,"AR1_M4",1
66,-0.251757177076367,"AR1_M4",1
67,-2.42422362696932,"AR1_M4",1
68,0.0170998824808057,"AR1_M4",1
69,-0.619396751026843,"AR1_M4",1
70,-1.07002617723611,"AR1_M4",1
71,2.92589040575527,"AR1_M4",1
72,0.33187263861011,"AR1_M4",1
73,-0.553825474696906,"AR1_M4",1
74,-0.620464619142694,"AR1_M4",1
75,-0.639573784773011,"AR1_M4",1
76,0.104798946617243,"AR1_M4",1
77,-0.249832255973423,"AR1_M4",1
78,-0.623812427883673,"AR1_M4",1
79,0.833332666804728,"AR1_M4",1
80,0.762842467893531,"AR1_M4",1
81,-0.314575462165809,"AR1_M4",1
82,0.0596832785831625,"AR1_M4",1
83,0.0124232846326687,"AR1_M4",1
84,1.21644628830317,"AR1_M4",1
85,0.456369286357439,"AR1_M4",1
86,-0.843876313464055,"AR1_M4",1
87,0.381137914999287,"AR1_M4",1
88,2.14734035960057,"AR1_M4",1
89,0.919605348822585,"AR1_M4",1
90,-0.551584058198723,"AR1_M4",1
91,-0.882078869815683,"AR1_M4",1
92,0.764962438611152,"AR1_M4",1
93,0.104511133818146,"AR1_M4",1
94,-0.755209422434063,"AR1_M4",1
95,-0.20687315110218,"AR1_M4",1
96,0.921402368785661,"AR1_M4",1
97,-1.3677826456861,"AR1_M4",1
98,0.882949355686098,"AR1_M4",1
99,0.372794502510223,"AR1_M4",1
100,0.390576102209532,"AR1_M4",1
101,1.87935185419114,"AR1_M4",1
102,-1.61154136575641,"AR1_M4",1
103,-0.608167933766401,"AR1_M4",1
104,0.568641462602658,"AR1_M4",1
105,0.532655485534849,"AR1_M4",1
106,-0.217532090163088,"AR1_M4",1
107,-0.326493908096092,"AR1_M4",1
108,0.526104843446535,"AR1_M4",1
109,-0.00037288554080616,"AR1_M4",1
110,-1.38982269600373,"AR1_M4",1
111,-0.676972233004061,"AR1_M4",1
112,-0.914587976245632,"AR1_M4",1
113,-1.45276614726832,"AR1_M4",1
114,0.590881277415544,"AR1_M4",1
115,1.16312388831769,"AR1_M4",1
116,-0.618245500796053,"AR1_M4",1
117,-0.360973877041194,"AR1_M4",1
118,1.24563376812387,"AR1_M4",1
119,-1.69429962375974,"AR1_M4",1
120,0.0588851831428175,"AR1_M4",1
121,0.625337876374194,"AR1_M4",1
122,-0.977955678316179,"AR1_M4",1
123,0.458708089369909,"AR1_M4",1
124,0.598713875631229,"AR1_M4",1
125,-0.855673163112585,"AR1_M4",1
126,-0.212388020350387,"AR1_M4",1
127,-0.451010354973793,"AR1_M4",1
128,-0.228441435183537,"AR1_M4",1
129,-0.144965110908052,"AR1_M4",1
130,0.0711677283537173,"AR1_M4",1
131,-1.5764616638991,"AR1_M4",1
132,-1.10007902067766,"AR1_M4",1
133,0.551285183578208,"AR1_M4",1
134,-0.0913944520552433,"AR1_M4",1
135,-0.612575378508201,"AR1_M4",1
136,0.98866071540379,"AR1_M4",1
137,1.01830390818336,"AR1_M4",1
138,0.638781748794878,"AR1_M4",1
139,0.919205074170273,"AR1_M4",1
140,-0.882049658846633,"AR1_M4",1
141,-0.940144297826653,"AR1_M4",1
142,0.217339563182923,"AR1_M4",1
143,1.14766802576608,"AR1_M4",1
144,0.564718631618189,"AR1_M4",1
145,-1.61101675550744,"AR1_M4",1
146,-1.36352255317964,"AR1_M4",1
147,-0.694004224955668,"AR1_M4",1
148,1.66520809002713,"AR1_M4",1
