"Time","Value","Replicate","Model"
1,2.86673534457862,1,"AR2_M2"
2,-2.76124912219078,1,"AR2_M2"
3,2.09839962842993,1,"AR2_M2"
4,-2.74722032704908,1,"AR2_M2"
5,4.27943675741512,1,"AR2_M2"
6,-3.4405958021214,1,"AR2_M2"
7,1.52742206649089,1,"AR2_M2"
8,-1.06235453722982,1,"AR2_M2"
9,0.124093882537948,1,"AR2_M2"
10,1.23840907721592,1,"AR2_M2"
11,-0.0970744343775204,1,"AR2_M2"
12,-0.138317185097881,1,"AR2_M2"
13,0.163070928847802,1,"AR2_M2"
14,-0.36840677764292,1,"AR2_M2"
15,1.63372205412737,1,"AR2_M2"
16,-1.13834352513678,1,"AR2_M2"
17,0.461024718147841,1,"AR2_M2"
18,-0.668757671488822,1,"AR2_M2"
19,0.00526935257450443,1,"AR2_M2"
20,0.231513623752362,1,"AR2_M2"
21,-1.22158982806409,1,"AR2_M2"
22,2.08734334388093,1,"AR2_M2"
23,-1.65876942990585,1,"AR2_M2"
24,2.08662855439434,1,"AR2_M2"
25,-1.33844160852886,1,"AR2_M2"
26,0.793485172367486,1,"AR2_M2"
27,0.951292997767937,1,"AR2_M2"
28,-0.614828318387558,1,"AR2_M2"
29,0.973010240422232,1,"AR2_M2"
30,-0.787106786250349,1,"AR2_M2"
31,-0.13868110772378,1,"AR2_M2"
32,-0.531492339601486,1,"AR2_M2"
33,0.0884942925306186,1,"AR2_M2"
34,-1.32217895831362,1,"AR2_M2"
35,1.34968100190254,1,"AR2_M2"
36,-0.889694707844101,1,"AR2_M2"
37,2.48645749301403,1,"AR2_M2"
38,-2.89727885264844,1,"AR2_M2"
39,3.24288000327589,1,"AR2_M2"
40,-3.90729690984918,1,"AR2_M2"
41,3.59004667312486,1,"AR2_M2"
42,-2.63605634785696,1,"AR2_M2"
43,1.99804815089296,1,"AR2_M2"
44,-2.62479542272155,1,"AR2_M2"
45,2.35810492552148,1,"AR2_M2"
46,-0.407508154724849,1,"AR2_M2"
47,0.0370490503541031,1,"AR2_M2"
48,0.594760005676088,1,"AR2_M2"
49,-0.855545439538132,1,"AR2_M2"
50,0.836404951010717,1,"AR2_M2"
51,-0.200065610121774,1,"AR2_M2"
52,1.44567507940602,1,"AR2_M2"
53,-0.0100029349185729,1,"AR2_M2"
54,1.10822174383326,1,"AR2_M2"
55,-1.57305725452387,1,"AR2_M2"
56,1.67069225357832,1,"AR2_M2"
57,0.332858610239023,1,"AR2_M2"
58,1.44695082096839,1,"AR2_M2"
59,-0.389690795172441,1,"AR2_M2"
60,-0.755788460432839,1,"AR2_M2"
61,0.121347294777431,1,"AR2_M2"
62,-0.845542268864808,1,"AR2_M2"
63,-0.0676358178967962,1,"AR2_M2"
64,1.02887677922047,1,"AR2_M2"
65,-0.881115221933517,1,"AR2_M2"
66,4.30679295859306,1,"AR2_M2"
67,-2.56495705325696,1,"AR2_M2"
68,1.78719862853478,1,"AR2_M2"
69,-0.432924769238762,1,"AR2_M2"
70,-0.206127518768579,1,"AR2_M2"
71,-0.106874523215211,1,"AR2_M2"
72,0.580926648723616,1,"AR2_M2"
73,-1.52254803391516,1,"AR2_M2"
74,1.49262930004687,1,"AR2_M2"
75,-0.205901346030168,1,"AR2_M2"
76,1.25645999567111,1,"AR2_M2"
77,1.33439313262148,1,"AR2_M2"
78,-2.94335388437679,1,"AR2_M2"
79,2.80139684192668,1,"AR2_M2"
80,-4.82365034413871,1,"AR2_M2"
81,5.55539416354704,1,"AR2_M2"
82,-4.70916358166208,1,"AR2_M2"
83,6.27608985931752,1,"AR2_M2"
84,-5.11004795332053,1,"AR2_M2"
85,4.75980565765467,1,"AR2_M2"
86,-3.8295995391081,1,"AR2_M2"
87,3.10378494423509,1,"AR2_M2"
88,-2.78369428989075,1,"AR2_M2"
89,3.17179390450627,1,"AR2_M2"
90,-1.48839517058719,1,"AR2_M2"
91,0.536048601140009,1,"AR2_M2"
92,-1.48869718477969,1,"AR2_M2"
93,-1.19801590527176,1,"AR2_M2"
94,0.941323725420551,1,"AR2_M2"
95,0.538513905425688,1,"AR2_M2"
96,-0.359890950216584,1,"AR2_M2"
97,-0.226296365063137,1,"AR2_M2"
98,1.37848803497414,1,"AR2_M2"
99,0.290239817332376,1,"AR2_M2"
100,0.772494963443126,1,"AR2_M2"
101,-1.09440003182537,1,"AR2_M2"
102,-0.785463545791761,1,"AR2_M2"
103,0.553848869805701,1,"AR2_M2"
104,-0.279176197634752,1,"AR2_M2"
105,0.173829163477509,1,"AR2_M2"
106,-0.928788670681117,1,"AR2_M2"
107,-0.113898220821619,1,"AR2_M2"
108,-1.18834922329946,1,"AR2_M2"
109,0.84103112428068,1,"AR2_M2"
110,-0.983063165412871,1,"AR2_M2"
111,-0.518904122264067,1,"AR2_M2"
112,-1.60480489404884,1,"AR2_M2"
113,0.650666511482947,1,"AR2_M2"
114,-0.480110879165976,1,"AR2_M2"
115,-0.696624962608637,1,"AR2_M2"
116,2.0343199884472,1,"AR2_M2"
117,-1.26142725971423,1,"AR2_M2"
118,1.83710899400051,1,"AR2_M2"
119,-1.31797617790373,1,"AR2_M2"
120,2.02456140439551,1,"AR2_M2"
121,-1.69343845590061,1,"AR2_M2"
122,3.42690543512538,1,"AR2_M2"
123,0.649135959630225,1,"AR2_M2"
124,1.35691755183987,1,"AR2_M2"
125,-1.72859128502854,1,"AR2_M2"
126,0.727963237159606,1,"AR2_M2"
127,-0.702741579773325,1,"AR2_M2"
128,1.40707446371878,1,"AR2_M2"
129,-1.58916656904275,1,"AR2_M2"
130,-1.18308233310162,1,"AR2_M2"
131,-1.02458234775643,1,"AR2_M2"
132,1.56231560331163,1,"AR2_M2"
133,-0.403458337416293,1,"AR2_M2"
