"Time","Value","Replicate","Model"
1,-0.427851229362187,1,"AR2_M3"
2,1.96782717664287,1,"AR2_M3"
3,-0.613289436604174,1,"AR2_M3"
4,0.027559711382307,1,"AR2_M3"
5,1.62720366211301,1,"AR2_M3"
6,0.850179054447959,1,"AR2_M3"
7,-2.59043214510099,1,"AR2_M3"
8,-1.57183582285434,1,"AR2_M3"
9,3.10657200849637,1,"AR2_M3"
10,0.672086135320617,1,"AR2_M3"
11,-4.22959373041952,1,"AR2_M3"
12,-1.07971277542523,1,"AR2_M3"
13,3.62760254275763,1,"AR2_M3"
14,1.44599327278153,1,"AR2_M3"
15,-2.01610877765692,1,"AR2_M3"
16,-0.309775489987466,1,"AR2_M3"
17,0.0381481728702129,1,"AR2_M3"
18,1.61307616703064,1,"AR2_M3"
19,-0.356345329177435,1,"AR2_M3"
20,-1.16747072490086,1,"AR2_M3"
21,0.739101350474463,1,"AR2_M3"
22,3.92353969397792,1,"AR2_M3"
23,-0.0867927140123284,1,"AR2_M3"
24,-3.37406557105778,1,"AR2_M3"
25,-0.874240556222138,1,"AR2_M3"
26,2.48496980367338,1,"AR2_M3"
27,1.07831016671998,1,"AR2_M3"
28,-2.73889052908657,1,"AR2_M3"
29,0.715642851354309,1,"AR2_M3"
30,2.31702315128525,1,"AR2_M3"
31,0.374131917938919,1,"AR2_M3"
32,-1.03406024869812,1,"AR2_M3"
33,-0.360423359731093,1,"AR2_M3"
34,0.288570173664485,1,"AR2_M3"
35,-0.674370793494607,1,"AR2_M3"
36,1.21396213525536,1,"AR2_M3"
37,0.0733569557524802,1,"AR2_M3"
38,0.685498925449917,1,"AR2_M3"
39,-0.567925081969814,1,"AR2_M3"
40,0.258343981570457,1,"AR2_M3"
41,0.388902965471977,1,"AR2_M3"
42,-0.156734458352799,1,"AR2_M3"
43,-1.7520693392665,1,"AR2_M3"
44,-0.765017332897817,1,"AR2_M3"
45,0.888595770084994,1,"AR2_M3"
46,0.121824202657877,1,"AR2_M3"
47,-1.84880299720607,1,"AR2_M3"
48,-1.36652859172123,1,"AR2_M3"
49,0.187579387038961,1,"AR2_M3"
50,1.37453481268258,1,"AR2_M3"
51,-0.921149501807165,1,"AR2_M3"
52,0.587949589903348,1,"AR2_M3"
53,2.69806201263072,1,"AR2_M3"
54,-1.60877323347018,1,"AR2_M3"
55,-2.2003123849587,1,"AR2_M3"
56,1.28939479495379,1,"AR2_M3"
57,2.65646352731761,1,"AR2_M3"
58,-0.80126786244797,1,"AR2_M3"
59,-1.75431457852455,1,"AR2_M3"
60,0.188727208890344,1,"AR2_M3"
61,0.955883945228128,1,"AR2_M3"
62,-0.757668627864701,1,"AR2_M3"
63,-2.27598362885507,1,"AR2_M3"
64,0.51023361641978,1,"AR2_M3"
65,3.39430805671063,1,"AR2_M3"
66,0.858400163120521,1,"AR2_M3"
67,-3.63328215423035,1,"AR2_M3"
68,-0.622660861428369,1,"AR2_M3"
69,2.40208933881002,1,"AR2_M3"
70,-0.0264931830641651,1,"AR2_M3"
71,-3.90958712615353,1,"AR2_M3"
72,-0.847134494727099,1,"AR2_M3"
73,3.18188231562512,1,"AR2_M3"
74,0.569778914184776,1,"AR2_M3"
75,-2.40481759511996,1,"AR2_M3"
76,-2.91043591129302,1,"AR2_M3"
77,1.0703956707784,1,"AR2_M3"
78,1.37350275800238,1,"AR2_M3"
79,-0.302569487492718,1,"AR2_M3"
80,-1.72725393386525,1,"AR2_M3"
81,0.105533724492281,1,"AR2_M3"
82,1.57424706817397,1,"AR2_M3"
83,-0.134415761006635,1,"AR2_M3"
84,-3.42615921085599,1,"AR2_M3"
85,0.25013878076139,1,"AR2_M3"
86,1.28757737890581,1,"AR2_M3"
87,-1.19624447048857,1,"AR2_M3"
88,-0.197270499619223,1,"AR2_M3"
89,-0.85051071325775,1,"AR2_M3"
90,0.993184796535873,1,"AR2_M3"
91,1.47497372055539,1,"AR2_M3"
92,-0.217240369763115,1,"AR2_M3"
93,-1.2450732483045,1,"AR2_M3"
94,0.213447873621302,1,"AR2_M3"
95,1.20541327472763,1,"AR2_M3"
96,-1.18543090933923,1,"AR2_M3"
97,-1.26946279478235,1,"AR2_M3"
98,0.377606409371776,1,"AR2_M3"
99,1.81247554817522,1,"AR2_M3"
100,-0.862687697321778,1,"AR2_M3"
101,-1.56242303013788,1,"AR2_M3"
102,-0.318673935112968,1,"AR2_M3"
103,-2.30284019716576,1,"AR2_M3"
104,0.581961796202515,1,"AR2_M3"
105,2.06798051799212,1,"AR2_M3"
106,-0.536397832867801,1,"AR2_M3"
107,-0.553290132251901,1,"AR2_M3"
108,-0.158148391829293,1,"AR2_M3"
109,0.428225181282626,1,"AR2_M3"
110,-2.05908103834062,1,"AR2_M3"
111,0.0698248077125094,1,"AR2_M3"
112,0.426765061138083,1,"AR2_M3"
113,0.807353017129888,1,"AR2_M3"
114,0.115514942902176,1,"AR2_M3"
115,-2.75214701042078,1,"AR2_M3"
116,-1.37264524665893,1,"AR2_M3"
117,1.77844747118023,1,"AR2_M3"
118,1.90937485192674,1,"AR2_M3"
119,-0.994436774572996,1,"AR2_M3"
120,-0.225574903903027,1,"AR2_M3"
121,-0.135179294300325,1,"AR2_M3"
122,-0.804544034783719,1,"AR2_M3"
123,-0.433087120376316,1,"AR2_M3"
124,1.1926470443635,1,"AR2_M3"
125,1.13161705403751,1,"AR2_M3"
126,-1.24556588628566,1,"AR2_M3"
127,-0.951254413959701,1,"AR2_M3"
128,0.0275654626121045,1,"AR2_M3"
129,0.172783311209783,1,"AR2_M3"
130,-0.620419246908297,1,"AR2_M3"
