"Time","Value","Replicate","Model"
1,2.8103685752846,1,"AR2_M1"
2,0.555273018349986,1,"AR2_M1"
3,3.22707330316659,1,"AR2_M1"
4,1.46738685996883,1,"AR2_M1"
5,2.43786512025726,1,"AR2_M1"
6,2.49914047808974,1,"AR2_M1"
7,2.45907286616651,1,"AR2_M1"
8,0.431855484063424,1,"AR2_M1"
9,0.78551784528701,1,"AR2_M1"
10,0.451928184618798,1,"AR2_M1"
11,1.61442471428132,1,"AR2_M1"
12,2.86833093265678,1,"AR2_M1"
13,3.51805367228405,1,"AR2_M1"
14,2.02013601228374,1,"AR2_M1"
15,2.85753761226739,1,"AR2_M1"
16,0.86777398165619,1,"AR2_M1"
17,2.92723318187855,1,"AR2_M1"
18,1.23624787003116,1,"AR2_M1"
19,4.10536115264378,1,"AR2_M1"
20,2.78480022297747,1,"AR2_M1"
21,5.1149508755242,1,"AR2_M1"
22,3.96394517496556,1,"AR2_M1"
23,4.70980306425859,1,"AR2_M1"
24,4.22294948473884,1,"AR2_M1"
25,4.64420172529028,1,"AR2_M1"
26,3.71835646931114,1,"AR2_M1"
27,2.79153185047121,1,"AR2_M1"
28,2.77907140089333,1,"AR2_M1"
29,2.79092791063582,1,"AR2_M1"
30,1.37798824111502,1,"AR2_M1"
31,2.19296725383016,1,"AR2_M1"
32,1.15083443704386,1,"AR2_M1"
33,1.11570013757967,1,"AR2_M1"
34,-0.398684278740142,1,"AR2_M1"
35,1.3573209262845,1,"AR2_M1"
36,-1.12796335524808,1,"AR2_M1"
37,-1.09031478204513,1,"AR2_M1"
38,-0.286629649817662,1,"AR2_M1"
39,0.527785121690039,1,"AR2_M1"
40,0.614414342461139,1,"AR2_M1"
41,1.50866274838179,1,"AR2_M1"
42,1.45117954526093,1,"AR2_M1"
43,1.34178816810463,1,"AR2_M1"
44,-1.44058562246945,1,"AR2_M1"
45,0.776297017205977,1,"AR2_M1"
46,-0.985762688883128,1,"AR2_M1"
47,-1.46582223547627,1,"AR2_M1"
48,0.487433684154913,1,"AR2_M1"
49,-1.09318343603398,1,"AR2_M1"
50,-0.579210089181856,1,"AR2_M1"
51,-1.46666420031266,1,"AR2_M1"
52,-2.37160281369636,1,"AR2_M1"
53,-2.47602772688804,1,"AR2_M1"
54,-1.41433888293892,1,"AR2_M1"
55,-2.93003064934528,1,"AR2_M1"
56,-1.45897574274448,1,"AR2_M1"
57,-2.31848669400307,1,"AR2_M1"
58,-1.96095436311613,1,"AR2_M1"
59,-2.98341376870604,1,"AR2_M1"
60,0.364123668936158,1,"AR2_M1"
61,-3.32909796656877,1,"AR2_M1"
62,-0.900123900794821,1,"AR2_M1"
63,-3.35328466159729,1,"AR2_M1"
64,-0.255490990845452,1,"AR2_M1"
65,-3.02339572128516,1,"AR2_M1"
66,0.506567533895906,1,"AR2_M1"
67,-2.15285990599246,1,"AR2_M1"
68,-0.292092347395222,1,"AR2_M1"
69,-2.15778017871338,1,"AR2_M1"
70,0.440260545239941,1,"AR2_M1"
71,-0.76530161721183,1,"AR2_M1"
72,0.43696426420416,1,"AR2_M1"
73,-1.28283525512078,1,"AR2_M1"
74,1.89145736039883,1,"AR2_M1"
75,-0.904020353446309,1,"AR2_M1"
76,1.66625327467965,1,"AR2_M1"
77,-0.871963206961774,1,"AR2_M1"
78,0.686349936337545,1,"AR2_M1"
79,-0.871219513157856,1,"AR2_M1"
80,1.01940946205084,1,"AR2_M1"
81,-0.31500906146975,1,"AR2_M1"
82,-0.360537550666753,1,"AR2_M1"
83,-1.62332033837233,1,"AR2_M1"
84,-0.888335200724942,1,"AR2_M1"
85,-2.28571349469252,1,"AR2_M1"
86,-1.42861831721958,1,"AR2_M1"
87,-2.88737510156535,1,"AR2_M1"
88,-0.611326860702348,1,"AR2_M1"
89,-2.6346839590186,1,"AR2_M1"
90,-2.53355321766908,1,"AR2_M1"
91,-2.83643031243181,1,"AR2_M1"
92,-1.22664232488322,1,"AR2_M1"
93,-2.26603757363805,1,"AR2_M1"
94,-0.53802130863536,1,"AR2_M1"
95,-1.78502330337932,1,"AR2_M1"
96,-0.341237584162901,1,"AR2_M1"
97,-2.31757298657801,1,"AR2_M1"
98,-1.01726387109273,1,"AR2_M1"
99,-2.07879007472526,1,"AR2_M1"
100,-2.65131339346075,1,"AR2_M1"
101,-3.83482861863824,1,"AR2_M1"
102,-2.60888457848994,1,"AR2_M1"
103,-3.70211592021623,1,"AR2_M1"
104,-3.48795206531596,1,"AR2_M1"
105,-2.97122539446215,1,"AR2_M1"
106,-2.46175231910854,1,"AR2_M1"
107,-3.09639114782717,1,"AR2_M1"
108,-1.33065987630363,1,"AR2_M1"
109,-2.90256525083142,1,"AR2_M1"
110,-2.01681903261172,1,"AR2_M1"
111,-3.37748883080927,1,"AR2_M1"
112,-2.86054930759197,1,"AR2_M1"
113,-3.20083552257751,1,"AR2_M1"
114,-2.45520901030917,1,"AR2_M1"
115,-2.65123521435498,1,"AR2_M1"
116,-3.74961442214925,1,"AR2_M1"
117,-2.19230826336529,1,"AR2_M1"
118,-4.30948152409975,1,"AR2_M1"
119,-1.18821592709184,1,"AR2_M1"
120,-3.49496043584092,1,"AR2_M1"
121,-0.0622537861326595,1,"AR2_M1"
122,-2.73087134991416,1,"AR2_M1"
123,-0.89674023327776,1,"AR2_M1"
124,-0.65036028863449,1,"AR2_M1"
125,-0.760581491085465,1,"AR2_M1"
126,-0.168331999003446,1,"AR2_M1"
127,-0.335659594390394,1,"AR2_M1"
128,-1.7020483327417,1,"AR2_M1"
129,0.866737148345552,1,"AR2_M1"
130,-1.21147368332733,1,"AR2_M1"
131,0.52233402295728,1,"AR2_M1"
132,-1.77592804086284,1,"AR2_M1"
133,0.877181112961707,1,"AR2_M1"
134,-1.22317125030885,1,"AR2_M1"
135,-0.0475587240298957,1,"AR2_M1"
136,0.802529002989355,1,"AR2_M1"
137,-0.210101781104082,1,"AR2_M1"
138,-0.497504098373991,1,"AR2_M1"
139,0.502354057559705,1,"AR2_M1"
140,-0.721574376184417,1,"AR2_M1"
141,0.0491661635415221,1,"AR2_M1"
142,-1.48291595681613,1,"AR2_M1"
143,-1.31307474465941,1,"AR2_M1"
144,-2.40507537253486,1,"AR2_M1"
145,0.459981475427579,1,"AR2_M1"
146,-1.84945417395745,1,"AR2_M1"
147,0.21733143338402,1,"AR2_M1"
148,-2.28403907306692,1,"AR2_M1"
149,-0.824093145025299,1,"AR2_M1"
150,-2.93077733552783,1,"AR2_M1"
151,-1.47656171164858,1,"AR2_M1"
152,-3.89005627344646,1,"AR2_M1"
153,-1.92189134220556,1,"AR2_M1"
154,-3.55718350806522,1,"AR2_M1"
155,-2.46802845677885,1,"AR2_M1"
156,-3.22924186900935,1,"AR2_M1"
157,-2.71234479298092,1,"AR2_M1"
158,-2.8300023816722,1,"AR2_M1"
159,-1.29579816650949,1,"AR2_M1"
160,-1.6107122586784,1,"AR2_M1"
161,-1.89061600278222,1,"AR2_M1"
162,-0.592722811436198,1,"AR2_M1"
163,-1.086178896796,1,"AR2_M1"
164,0.0195816102761134,1,"AR2_M1"
165,-0.5409513768235,1,"AR2_M1"
166,0.411890801623785,1,"AR2_M1"
167,-1.51954498852741,1,"AR2_M1"
168,0.977306874936794,1,"AR2_M1"
169,0.18749982673826,1,"AR2_M1"
170,0.750628205100263,1,"AR2_M1"
171,0.871618952225872,1,"AR2_M1"
172,0.899564861232247,1,"AR2_M1"
173,-0.174869075783964,1,"AR2_M1"
174,1.66378766764774,1,"AR2_M1"
175,-0.763621292097723,1,"AR2_M1"
176,1.33822763769584,1,"AR2_M1"
177,-1.47311353610037,1,"AR2_M1"
178,1.03048997712036,1,"AR2_M1"
179,-0.956560203280583,1,"AR2_M1"
180,0.702537126826332,1,"AR2_M1"
181,-0.313552705605248,1,"AR2_M1"
182,1.74998927250792,1,"AR2_M1"
183,0.762884857720044,1,"AR2_M1"
184,1.7246149999679,1,"AR2_M1"
185,0.14400462049298,1,"AR2_M1"
186,3.49252660427428,1,"AR2_M1"
187,0.902151623778697,1,"AR2_M1"
188,3.11331884266381,1,"AR2_M1"
189,-0.636260138766039,1,"AR2_M1"
190,3.75116184785669,1,"AR2_M1"
191,-1.21789834622503,1,"AR2_M1"
192,3.89597030079444,1,"AR2_M1"
193,0.0996711785764821,1,"AR2_M1"
194,4.07903934099471,1,"AR2_M1"
195,0.266239081126159,1,"AR2_M1"
196,3.56825344105903,1,"AR2_M1"
197,0.529729340891125,1,"AR2_M1"
198,4.14358252468021,1,"AR2_M1"
199,-0.182459248638957,1,"AR2_M1"
200,3.35783386718288,1,"AR2_M1"
201,0.686226989992161,1,"AR2_M1"
202,2.47715125161645,1,"AR2_M1"
203,1.19979765844218,1,"AR2_M1"
204,2.15780332993024,1,"AR2_M1"
205,1.95848884307478,1,"AR2_M1"
206,2.75542745222477,1,"AR2_M1"
207,3.25079464234303,1,"AR2_M1"
208,2.93646704212262,1,"AR2_M1"
209,1.74778290881821,1,"AR2_M1"
210,1.48625743763389,1,"AR2_M1"
211,3.57775248230566,1,"AR2_M1"
212,1.6525734993299,1,"AR2_M1"
213,4.34788463894152,1,"AR2_M1"
214,1.15276609550711,1,"AR2_M1"
215,2.51256472754912,1,"AR2_M1"
216,1.95752198094738,1,"AR2_M1"
217,0.16047016916781,1,"AR2_M1"
218,3.68101360973608,1,"AR2_M1"
219,1.47937262454582,1,"AR2_M1"
220,3.15036542029795,1,"AR2_M1"
221,1.40491325244955,1,"AR2_M1"
222,3.55877071676075,1,"AR2_M1"
223,0.0210334193639901,1,"AR2_M1"
224,4.3587592126219,1,"AR2_M1"
225,0.00258237370720735,1,"AR2_M1"
226,4.16198285261797,1,"AR2_M1"
227,0.00641130926300828,1,"AR2_M1"
228,2.31983096656344,1,"AR2_M1"
229,0.012365292000376,1,"AR2_M1"
230,0.830786747594606,1,"AR2_M1"
231,1.27172226532177,1,"AR2_M1"
232,0.521585006763679,1,"AR2_M1"
233,2.71389299395492,1,"AR2_M1"
234,1.25955489159937,1,"AR2_M1"
235,1.43397895484622,1,"AR2_M1"
236,2.39362795976138,1,"AR2_M1"
237,0.395791646197898,1,"AR2_M1"
238,1.29074283844589,1,"AR2_M1"
239,-0.949128892278218,1,"AR2_M1"
240,1.78640841492845,1,"AR2_M1"
241,0.743405168339694,1,"AR2_M1"
242,0.301520579526022,1,"AR2_M1"
243,2.06164349707216,1,"AR2_M1"
244,1.3179045031352,1,"AR2_M1"
245,0.90410737374846,1,"AR2_M1"
246,0.279927342541145,1,"AR2_M1"
247,0.70282051323203,1,"AR2_M1"
248,0.670587738228614,1,"AR2_M1"
249,1.44776649862354,1,"AR2_M1"
