"Time","Value","Model","Run"
1,0.948871907220331,"MA1_M4",1
2,-0.801239952238111,"MA1_M4",1
3,0.607469987551283,"MA1_M4",1
4,-1.6303697244097,"MA1_M4",1
5,-0.928280055295025,"MA1_M4",1
6,1.54419357191797,"MA1_M4",1
7,-0.30304270460928,"MA1_M4",1
8,-1.35222414075035,"MA1_M4",1
9,-0.384760740461784,"MA1_M4",1
10,-1.1951682062067,"MA1_M4",1
11,0.751550827211097,"MA1_M4",1
12,-1.67757343596124,"MA1_M4",1
13,-0.728174752051622,"MA1_M4",1
14,1.00920147219315,"MA1_M4",1
15,-0.95473662972947,"MA1_M4",1
16,-0.999355247323148,"MA1_M4",1
17,-1.67679382922345,"MA1_M4",1
18,1.21817119979099,"MA1_M4",1
19,0.0691057531096964,"MA1_M4",1
20,0.238893924043443,"MA1_M4",1
21,-0.227059541493024,"MA1_M4",1
22,-0.155116234054708,"MA1_M4",1
23,0.381383225071923,"MA1_M4",1
24,1.14203679358788,"MA1_M4",1
25,1.17247919312715,"MA1_M4",1
26,-0.449034861932384,"MA1_M4",1
27,0.864343158692701,"MA1_M4",1
28,1.43358612839979,"MA1_M4",1
29,-1.1834696510305,"MA1_M4",1
30,0.0822186099304379,"MA1_M4",1
31,0.123491795337845,"MA1_M4",1
32,-1.00880398656817,"MA1_M4",1
33,-1.18584327391469,"MA1_M4",1
34,-0.24594535680422,"MA1_M4",1
35,-1.11210484185734,"MA1_M4",1
36,-1.7136508323305,"MA1_M4",1
37,0.927991137351004,"MA1_M4",1
38,1.2571850382001,"MA1_M4",1
39,-0.698118268431675,"MA1_M4",1
40,0.151494167911702,"MA1_M4",1
41,0.827681802867824,"MA1_M4",1
42,-0.228772517794393,"MA1_M4",1
43,0.46170370372131,"MA1_M4",1
44,-0.723115148219126,"MA1_M4",1
45,-0.228439228165371,"MA1_M4",1
46,0.285149927270448,"MA1_M4",1
47,-0.00189199921836212,"MA1_M4",1
48,0.482285070426637,"MA1_M4",1
49,-1.79136234476073,"MA1_M4",1
50,0.514913555765229,"MA1_M4",1
51,1.60683022315764,"MA1_M4",1
52,1.65285270197726,"MA1_M4",1
53,-0.932608939545853,"MA1_M4",1
54,-0.141606392372717,"MA1_M4",1
55,-1.0449978610318,"MA1_M4",1
56,-1.34518858505063,"MA1_M4",1
57,1.04688735277751,"MA1_M4",1
58,0.717504614447276,"MA1_M4",1
59,0.933368567744674,"MA1_M4",1
60,0.4710531255977,"MA1_M4",1
61,0.635866742865602,"MA1_M4",1
62,0.648954212413225,"MA1_M4",1
63,0.424106909196504,"MA1_M4",1
64,1.35677661694892,"MA1_M4",1
65,0.803885772566194,"MA1_M4",1
66,-0.814211532676903,"MA1_M4",1
67,1.06607565538506,"MA1_M4",1
68,0.71959651772636,"MA1_M4",1
69,-1.59376558181661,"MA1_M4",1
70,0.33824354365162,"MA1_M4",1
71,-1.41990498529295,"MA1_M4",1
72,2.26039117541381,"MA1_M4",1
73,0.105646311709427,"MA1_M4",1
74,2.10595393286953,"MA1_M4",1
75,0.557022262661998,"MA1_M4",1
76,-0.528637889569763,"MA1_M4",1
77,-0.221962047995747,"MA1_M4",1
78,2.02294625328063,"MA1_M4",1
79,0.468749435783459,"MA1_M4",1
80,-0.527316077361243,"MA1_M4",1
81,-1.79200710400929,"MA1_M4",1
82,-2.78447323137068,"MA1_M4",1
83,0.696769434658383,"MA1_M4",1
84,1.18275612127199,"MA1_M4",1
85,1.14069641604416,"MA1_M4",1
86,-0.426905467816257,"MA1_M4",1
87,0.456957155285547,"MA1_M4",1
88,-0.379790229801233,"MA1_M4",1
89,-0.503231512660053,"MA1_M4",1
