"Index","Value","Model","Iteration"
1,6.26421156850676,"ARMA11_M1",1
2,6.25742357067093,"ARMA11_M1",1
3,5.19356669388138,"ARMA11_M1",1
4,4.56798431225235,"ARMA11_M1",1
5,4.2271548592463,"ARMA11_M1",1
6,4.43638620751009,"ARMA11_M1",1
7,4.10934171651915,"ARMA11_M1",1
8,3.46509681357869,"ARMA11_M1",1
9,0.732983342254492,"ARMA11_M1",1
10,0.101362967822155,"ARMA11_M1",1
11,0.702917968228648,"ARMA11_M1",1
12,0.412278706454956,"ARMA11_M1",1
13,-1.7319475271143,"ARMA11_M1",1
14,-3.81569374106283,"ARMA11_M1",1
15,-2.07319309418963,"ARMA11_M1",1
16,0.592993836710448,"ARMA11_M1",1
17,0.709108017817113,"ARMA11_M1",1
18,-0.532649961221635,"ARMA11_M1",1
19,-1.06328928709702,"ARMA11_M1",1
20,-0.220356995872049,"ARMA11_M1",1
21,1.71327128518113,"ARMA11_M1",1
22,3.0142007936091,"ARMA11_M1",1
23,3.21582220247696,"ARMA11_M1",1
24,2.26229492458666,"ARMA11_M1",1
25,0.181694251280788,"ARMA11_M1",1
26,-1.62375693637653,"ARMA11_M1",1
27,-2.41924763249894,"ARMA11_M1",1
28,-2.56008746701445,"ARMA11_M1",1
29,-2.52493043338168,"ARMA11_M1",1
30,-1.86084838992574,"ARMA11_M1",1
31,-1.19191996175588,"ARMA11_M1",1
32,1.16893434702252,"ARMA11_M1",1
33,3.50268822343545,"ARMA11_M1",1
34,5.09806304123565,"ARMA11_M1",1
35,7.35127759772804,"ARMA11_M1",1
36,7.97187427642776,"ARMA11_M1",1
37,7.44666110330644,"ARMA11_M1",1
38,6.71480371258478,"ARMA11_M1",1
39,7.03532636320966,"ARMA11_M1",1
40,8.66360032980783,"ARMA11_M1",1
41,9.65814853450826,"ARMA11_M1",1
42,9.48187432333217,"ARMA11_M1",1
43,10.6262646891002,"ARMA11_M1",1
44,9.42656009838383,"ARMA11_M1",1
45,6.71590571083061,"ARMA11_M1",1
46,4.63441078926245,"ARMA11_M1",1
47,2.13651931918345,"ARMA11_M1",1
48,1.44260233300672,"ARMA11_M1",1
49,0.480869328692562,"ARMA11_M1",1
50,-0.864868727929621,"ARMA11_M1",1
51,0.96670176222714,"ARMA11_M1",1
52,0.663735211167848,"ARMA11_M1",1
53,0.55032240374545,"ARMA11_M1",1
54,1.76197510488321,"ARMA11_M1",1
55,0.616441367518873,"ARMA11_M1",1
56,-0.252229574408729,"ARMA11_M1",1
57,0.652441919736311,"ARMA11_M1",1
58,0.917427191624982,"ARMA11_M1",1
59,1.90894818392671,"ARMA11_M1",1
60,0.4538147515408,"ARMA11_M1",1
61,-2.91972830625245,"ARMA11_M1",1
62,-2.65752970008979,"ARMA11_M1",1
63,-3.14087031103219,"ARMA11_M1",1
64,-2.64857514736688,"ARMA11_M1",1
65,0.63287551575069,"ARMA11_M1",1
66,2.25923339732907,"ARMA11_M1",1
67,2.22173510177732,"ARMA11_M1",1
68,1.83054243587774,"ARMA11_M1",1
69,0.90054546067829,"ARMA11_M1",1
70,1.75319428884131,"ARMA11_M1",1
71,3.86689288575413,"ARMA11_M1",1
72,3.46001072008708,"ARMA11_M1",1
73,3.7298728292314,"ARMA11_M1",1
74,5.21072939282843,"ARMA11_M1",1
75,4.60805926778582,"ARMA11_M1",1
