"Index","Value","Model","Iteration"
1,2.40482262912371,"ARMA11_M3",1
2,-3.47524281199535,"ARMA11_M3",1
3,4.37615957818084,"ARMA11_M3",1
4,-2.84639780760648,"ARMA11_M3",1
5,1.6981644194427,"ARMA11_M3",1
6,-1.98076643855703,"ARMA11_M3",1
7,2.35453971992573,"ARMA11_M3",1
8,-3.15662309014947,"ARMA11_M3",1
9,2.51861085607423,"ARMA11_M3",1
10,0.309952151365044,"ARMA11_M3",1
11,-0.0942233650477114,"ARMA11_M3",1
12,-2.70273695729819,"ARMA11_M3",1
13,2.13761663097354,"ARMA11_M3",1
14,-2.08016546780176,"ARMA11_M3",1
15,2.28994958677977,"ARMA11_M3",1
16,-0.268480114221828,"ARMA11_M3",1
17,-0.653495211775403,"ARMA11_M3",1
18,0.650765168029311,"ARMA11_M3",1
19,-0.435485641970012,"ARMA11_M3",1
20,-0.708175596231851,"ARMA11_M3",1
21,3.22742244290502,"ARMA11_M3",1
22,-2.5954371733464,"ARMA11_M3",1
23,-1.07949067467271,"ARMA11_M3",1
24,2.45108013765914,"ARMA11_M3",1
25,-1.92766346055482,"ARMA11_M3",1
26,-1.42058495694928,"ARMA11_M3",1
27,2.45406053122037,"ARMA11_M3",1
28,-0.569607558641831,"ARMA11_M3",1
29,1.5664404278089,"ARMA11_M3",1
30,-1.97602465750873,"ARMA11_M3",1
31,1.45622093745989,"ARMA11_M3",1
32,-1.71019336414662,"ARMA11_M3",1
33,1.91794477918571,"ARMA11_M3",1
34,-2.95894320548389,"ARMA11_M3",1
35,3.58390933981458,"ARMA11_M3",1
36,-2.9790313594428,"ARMA11_M3",1
37,0.909805397037113,"ARMA11_M3",1
38,0.14154919080933,"ARMA11_M3",1
39,-0.300989484185035,"ARMA11_M3",1
40,1.52970974056637,"ARMA11_M3",1
41,-3.20135065560808,"ARMA11_M3",1
42,3.36988370163024,"ARMA11_M3",1
43,-3.16732479157622,"ARMA11_M3",1
44,3.16778995606295,"ARMA11_M3",1
45,-3.27359394542639,"ARMA11_M3",1
46,2.23810471151137,"ARMA11_M3",1
47,-0.401421098390322,"ARMA11_M3",1
48,-0.833887001151269,"ARMA11_M3",1
49,-0.270894412459883,"ARMA11_M3",1
50,3.21551927051985,"ARMA11_M3",1
51,-3.40809906031899,"ARMA11_M3",1
52,3.18233576825956,"ARMA11_M3",1
53,-2.94815840881011,"ARMA11_M3",1
54,1.30063446845183,"ARMA11_M3",1
55,-0.50559823219632,"ARMA11_M3",1
56,-1.39598507621608,"ARMA11_M3",1
57,3.80032348076872,"ARMA11_M3",1
58,-6.44553658766096,"ARMA11_M3",1
59,6.21433393024061,"ARMA11_M3",1
60,-5.82236104322942,"ARMA11_M3",1
61,6.21064848465374,"ARMA11_M3",1
62,-2.95864818344352,"ARMA11_M3",1
63,-0.863284349052122,"ARMA11_M3",1
64,2.55131422527709,"ARMA11_M3",1
65,-1.8874986017542,"ARMA11_M3",1
66,1.59838588528361,"ARMA11_M3",1
67,-1.5212068112012,"ARMA11_M3",1
68,-0.215911285859072,"ARMA11_M3",1
69,2.31343273650657,"ARMA11_M3",1
70,-3.42418356093579,"ARMA11_M3",1
71,3.59026691189473,"ARMA11_M3",1
72,-1.47788273442465,"ARMA11_M3",1
73,0.145761334685797,"ARMA11_M3",1
74,-0.951844151741295,"ARMA11_M3",1
75,1.16069976665357,"ARMA11_M3",1
76,-2.4000862782291,"ARMA11_M3",1
77,2.32624229870102,"ARMA11_M3",1
78,0.144212486515534,"ARMA11_M3",1
79,-1.71821052829567,"ARMA11_M3",1
80,2.55684630228163,"ARMA11_M3",1
81,-2.85835598796943,"ARMA11_M3",1
82,2.50170666897091,"ARMA11_M3",1
83,-2.37148821746904,"ARMA11_M3",1
84,1.60242238610703,"ARMA11_M3",1
