"","(Intercept)","H_Shannon","H_Renyi","H_Tsallis","H_Fisher","C_Shannon","C_Renyi","C_Tsallis","C_Fisher","Disequilibrium"
"AR(2)",0,4.6370303583565e-06,0,0.38131441562448,0,0,0,0,0,0
"MA(2)",0,3.37741238798372e-06,0,0,0,0.837148336527009,0.00152145202914955,0.27806227583239,1.60613271127374e-07,0.000486426575027732
"Logistic",0,NA,0,NA,0,0,0,0,NA,NA
"Sine",0,NA,NA,0,NA,0,NA,0,NA,0
"ARMA+Sine(w=0.1)",0,0,0,0,0,0,0,0,0,0
"ARMA+Sine(w=0.2)",0,0,0,2.22044604925031e-16,1.48769885299771e-14,0,8.72635297355373e-14,0,0.646622327742306,0
"ARMA+Sine(w=0.3)",0,0,0,5.60511961289478e-08,2.14587014824019e-10,0,0,0,0.0616053765734887,0
"AR2+Logistic(w=0.1)",6.49196685742481e-07,0,0,0,0.000252796285573842,0,0,0,0,0
"AR2+Sine(w=0.8)",0,0,0,0,0,0,0,0,0,0
"MA2+Logistic(w=0.2)",7.91811061162662e-13,0,0,0,7.72420749464153e-05,0,0,0,0,0
"MA2+Logistic(w=0.7)",0,0.928369489166381,0,0,0,0.7240632646944,8.37148306898072e-07,0.242089260153667,4.45912196056497e-11,0.749442920003537
"MA2+Sine(w=0.4)",0,0,0,0,0,0,0,0,0,0
"MA2+Sine(w=0.6)",0,0,0,0,0,0,1.11022302462516e-14,0,3.30846461338297e-14,0
"MA2+Sine(w=0.8)",0,0,0,0,0,0,0,0,0,0
